Business Name,Area,Category,Google Maps URL,Address,Phone,Website,Rating,Review Count,Plus Code,Hours,Error,_l2_gmaps_url,_l2_gmaps_error,_l2_homepage_title,_l2_homepage_description,_l2_homepage_emails,_l2_homepage_phones,_l2_homepage_linkedin,_l2_homepage_facebook,_l2_homepage_twitter,_l2_homepage_instagram,_l2_homepage_youtube,_l2_homepage_github,_l2_homepage_contact_url,_l2_homepage_about_url,_l2_homepage_careers_url,_l2_homepage_blog_url,_l2_homepage_tech_stack,_l2_homepage_founded_year,_l2_homepage_employee_count,_l2_homepage_headquarters,_l2_homepage_error,_l2_enriched_at,_firmographic_query,_firmographic_sources,_firmographic_errors,legal_name,registration_number,jurisdiction,incorporation_date,company_status,company_type,official_website,industry,sic_code,employee_count,headquarters,officers
RS REALTY,Jubilee Hills,real estate agents,https://www.google.com/maps/place/RS+REALTY/data=!4m7!3m6!1s0x3bcb91a945cb1cdb:0x172db98fcb3e875f!8m2!3d17.4284646!4d78.4138596!16s%2Fg%2F11ksl05hp9!19sChIJ2xzLRamRyzsRX4c-y4-5LRc?authuser=0&hl=en&rclk=1,"Metro Station, S-1, Empire Square Building, Road No 36, Jubilee Hills Check Post Rd, Jubilee Hills, Hyderabad, Telangana 500033",,,4.5,43,"CCH7+9G Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,RS REALTY,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=RS+REALTY&per_page=5,,,,,,,,,,,,
United Properties,Jubilee Hills,real estate agents,https://www.google.com/maps/place/United+Properties/data=!4m7!3m6!1s0x3bcb97069a60c90f:0x3ab0c24ff1dfc847!8m2!3d17.4086732!4d78.4325084!16s%2Fg%2F1trvjwr9!19sChIJD8lgmgaXyzsRR8jf8U_CsDo?authuser=0&hl=en&rclk=1,"Banjara Hills Rd Number 10, MLA Colony, Banjara Hills, Hyderabad, Telangana 500028",,https://united-properties.ueniweb.com,4.8,38,"CC5M+F2 Hyderabad, Telangana",,,,,Estate Agent | United Properties,Trying to find an Estate Agent in the local area? Check out United Properties. We provide a variety of property and consultancy services.,unitedpropertyhyd@gmail.com,8328535679,,https://www.facebook.com/settings,,,,,https://united-properties.ueniweb.com/#contact_us,https://united-properties.ueniweb.com/#about_us,,,,,,,,2026-07-01T01:42:59.454149,United Properties,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=United+Properties&per_page=5,,,,,,,,,,,,
Hyderabad Real Estate Properties,Jubilee Hills,real estate agents,https://www.google.com/maps/place/Hyderabad+Real+Estate+Properties/data=!4m7!3m6!1s0x3bcb9710b2d0d503:0x497f41830e519580!8m2!3d17.4005586!4d78.3916696!16s%2Fg%2F11j2jj4hd_!19sChIJA9XQshCXyzsRgJVRDoNBf0k?authuser=0&hl=en&rclk=1,"Shop # 3, Ajwad Plaza, Friends Colony, Shaikpet, Hyderabad, Telangana 500104",075698 47589,,4.9,25,"C92R+6M Hyderabad, Telangana",,,https://www.google.com/maps/place/Hyderabad+Real+Estate+Properties/data=!4m7!3m6!1s0x3bcb9710b2d0d503:0x497f41830e519580!8m2!3d17.4005586!4d78.3916696!16s%2Fg%2F11j2jj4hd_!19sChIJA9XQshCXyzsRgJVRDoNBf0k?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Hyderabad Real Estate Properties,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Hyderabad+Real+Estate+Properties&per_page=5,,,,,,,,,,,,
Lanar Realtors Pvt Ltd,Jubilee Hills,real estate agents,https://www.google.com/maps/place/Lanar+Realtors+Pvt+Ltd/data=!4m7!3m6!1s0x3bcb90d32abdbe65:0xdbd35aafe91f1e29!8m2!3d17.4252825!4d78.4376847!16s%2Fg%2F1thcqsx0!19sChIJZb69KtOQyzsRKR4f6a9a09s?authuser=0&hl=en&rclk=1,"UB Colony, Plot No 25, Banjara Hills Rd Number 3, UBI Colony, Andhra Pradesh Real Estate, Green Valley, Banjara Hills, Hyderabad, Telangana 500034",,,4.8,16,"CCGQ+43 Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Lanar Realtors Pvt Ltd,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Lanar+Realtors+Pvt+Ltd&per_page=5,,,,,,,,,,,,
Golden Gate Properties Hyderabad,Jubilee Hills,real estate agents,https://www.google.com/maps/place/Golden+Gate+Properties+Hyderabad/data=!4m7!3m6!1s0x3bcb91ecffe65d23:0xf8919ea362fec0d4!8m2!3d17.437389!4d78.3998877!16s%2Fg%2F11tbvh2b_n!19sChIJI13m_-yRyzsR1MD-YqOekfg?authuser=0&hl=en&rclk=1,"Q Hub, Road No. 36, & 37, Jubilee Hills, Hyderabad, Telangana 500033",,https://goldengateproperties.co.in,5.0,12,"C9PX+XX Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,empty response,2026-07-01T01:42:59.454149,Golden Gate Properties Hyderabad,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Golden+Gate+Properties+Hyderabad&per_page=5,,,,,,,,,,,,
Nimra Properties,Jubilee Hills,real estate agents,https://www.google.com/maps/place/Nimra+Properties/data=!4m7!3m6!1s0x3bcb9738eeb31f59:0xb210fefd8a8552a7!8m2!3d17.410284!4d78.450626!16s%2Fg%2F11c7_x2dy6!19sChIJWR-z7jiXyzsRp1KFiv3-ELI?authuser=0&hl=en&rclk=1,"6-3-200/A, Shyam Rao Nagar, Banjara Hills, Hyderabad, Telangana 500034",099893 61591,,4.9,50,"CF62+47 Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Nimra Properties,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Nimra+Properties&per_page=5,,,,,,,,,,,,
Hyderabad Property Consultant,Jubilee Hills,property consultants,https://www.google.com/maps/place/Hyderabad+Property+Consultant/data=!4m7!3m6!1s0x510787214794575:0xe8d208d49dd58946!8m2!3d17.463957!4d78.368122!16s%2Fg%2F11nbb76knl!19sChIJdUV5FHJ4EAURRonVndQI0ug?authuser=0&hl=en&rclk=1,"3rd Floor, House No. 1, Opposte KFC, Ravi Enclave, 11/4/40/41/42/1F, Hanuman Nagar, Serilingampalle (M), Hyderabad, Telangana 500072",062812 45149,,5.0,10,"F979+H6 Serilingampalle (M), Telangana",,,https://www.google.com/maps/place/Hyderabad+Property+Consultant/data=!4m7!3m6!1s0x510787214794575:0xe8d208d49dd58946!8m2!3d17.463957!4d78.368122!16s%2Fg%2F11nbb76knl!19sChIJdUV5FHJ4EAURRonVndQI0ug?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Hyderabad Property Consultant,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Hyderabad+Property+Consultant&per_page=5,,,,,,,,,,,,
Prop Mission Pvt Ltd.,Jubilee Hills,property consultants,https://www.google.com/maps/place/Prop+Mission+Pvt+Ltd./data=!4m7!3m6!1s0x3bcb915fe247ff4d:0xd326c8be84c321be!8m2!3d17.4586787!4d78.3884953!16s%2Fg%2F11jg3w417t!19sChIJTf9H4l-RyzsRviHDhL7IJtM?authuser=0&hl=en&rclk=1,"5th floor, SCR Towers, Siddhi Vinayak Nagar, Madhapur, Hyderabad, Telangana 500081",095739 44946,,4.8,90,"F95Q+F9 Hyderabad, Telangana",· Opens 9:30 am; Wednesday 9:30 am–7:30 pm; Thursday 9:30 am–7:30 pm; Friday 9:30 am–7:30 pm; Saturday 9:30 am–7:30 pm; Sunday 9:30 am–7:30 pm; Monday 9:30 am–7:30 pm; Tuesday 9:30 am–7:30 pm,,https://www.google.com/maps/place/Prop+Mission+Pvt+Ltd./data=!4m7!3m6!1s0x3bcb915fe247ff4d:0xd326c8be84c321be!8m2!3d17.4586787!4d78.3884953!16s%2Fg%2F11jg3w417t!19sChIJTf9H4l-RyzsRviHDhL7IJtM?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Prop Mission Pvt Ltd.,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Prop+Mission+Pvt+Ltd.&per_page=5,,,,,,,,,,,,
APS Property Solutions Pvt Ltd,Jubilee Hills,property consultants,https://www.google.com/maps/place/APS+Property+Solutions+Pvt+Ltd/data=!4m7!3m6!1s0x3bcb974e9554cd73:0x423ac8c6136d8b00!8m2!3d17.4339481!4d78.4037964!16s%2Fg%2F1twyx_87!19sChIJc81UlU6XyzsRAIttE8bIOkI?authuser=0&hl=en&rclk=1,"Hansa Plaza, 798, Road No. 36, CBI Colony, Jubilee Hills, Hyderabad, Telangana 500033",,,5.0,6,"CCM3+HG Hyderabad, Telangana",· Opens 9:30 am; Wednesday 9:30 am–6:30 pm; Thursday 9:30 am–6:30 pm; Friday 9:30 am–6:30 pm; Saturday 9:30 am–2:30 pm; Monday 9:30 am–6:30 pm; Tuesday 9:30 am–6:30 pm,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,APS Property Solutions Pvt Ltd,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=APS+Property+Solutions+Pvt+Ltd&per_page=5,,,,,,,,,,,,
V S REALESTATES property Consultant,Jubilee Hills,property consultants,https://www.google.com/maps/place/V+S+REALESTATES+property+Consultant/data=!4m7!3m6!1s0x3bcb91a3fb014c8b:0x6c94c192c9887986!8m2!3d17.4314417!4d78.4069726!16s%2Fg%2F11wbtbrdq4!19sChIJi0wB-6ORyzsRhnmIyZLBlGw?authuser=0&hl=en&rclk=1,"Peddamma Temple, Madhapur, Jubilee Hills, Hyderabad, Telangana 500033",098663 36356,,5.0,1,"CCJ4+HQ Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,V S REALESTATES property Consultant,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=V+S+REALESTATES+property+Consultant&per_page=5,,,,,,,,,,,,
Avenir Realty,Jubilee Hills,property consultants,https://www.google.com/maps/place/Avenir+Realty/data=!4m7!3m6!1s0x3bcb9186c9a1a93d:0xba227f36d9045214!8m2!3d17.4228196!4d78.4470428!16s%2Fg%2F1q6j7h4df!19sChIJPamhyYaRyzsRFFIE2TZ_Iro?authuser=0&hl=en&rclk=1,"2nd Floor, 8-2, 468/A/2/1, Road No. 5, Green Valley, Banjara Hills, Hyderabad, Telangana 500034",091007 06795,,4.8,16,"CCFW+4R Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Avenir Realty,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Avenir+Realty&per_page=5,,,,,,,,,,,,
Real Estate Consultants,Jubilee Hills,property consultants,https://www.google.com/maps/place/Real+Estate+Consultants/data=!4m7!3m6!1s0x3bcb97060e0c1e8b:0xbe94242e58b4d9e8!8m2!3d17.4073669!4d78.4442335!16s%2Fg%2F11fqksyjxh!19sChIJix4MDgaXyzsR6Nm0WC4klL4?authuser=0&hl=en&rclk=1,"Hi Tech city, 3-225, Kavuri Hills Rd, CBI Colony, Madhapur, Hyderabad, Telangana 500033",090000 93739,,4.8,99,"C9PV+9P Hyderabad, Telangana",,,https://www.google.com/maps/place/RE%2FMAX+Jubilee+Property+services/data=!4m7!3m6!1s0x3bcb91e55c367cf7:0x4c4e96150394f67e!8m2!3d17.4359031!4d78.3943664!16s%2Fg%2F11frnw_vhv!19sChIJ93w2XOWRyzsRfvaUAxWWTkw?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Real Estate Consultants,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Real+Estate+Consultants&per_page=5,,,,,,,,,,,,
Lorven Property Consulting & Aviation Services,Jubilee Hills,property consultants,https://www.google.com/maps/place/Lorven+Property+Consulting+%26+Aviation+Services/data=!4m7!3m6!1s0x3bcb93ec2770c7a7:0x3244dfa9b9850f09!8m2!3d17.4289839!4d78.418664!16s%2Fg%2F11f1dky5rb!19sChIJp8dwJ-yTyzsRCQ-FuanfRDI?authuser=0&hl=en&rclk=1,"301, 3rd Floor, 8-2-293, 82/69, Road Number 9, Park View Enclave, Jubilee Hills, Hyderabad, Telangana 500034",098532 24455,,4.4,30,"CCH9+HF Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Lorven Property Consulting & Aviation Services,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Lorven+Property+Consulting+%26+Aviation+Services&per_page=5,,,,,,,,,,,,
Urban Life Spaces,Jubilee Hills,property consultants,https://www.google.com/maps/place/Urban+Life+Spaces/data=!4m7!3m6!1s0x3bcb97b8646851dd:0x149c77cb48efbc1a!8m2!3d17.418375!4d78.403587!16s%2Fg%2F11vx7ggxxb!19sChIJ3VFoZLiXyzsRGrzvSMt3nBQ?authuser=0&hl=en&rclk=1,"Flat No G2, SSH PRIDE, Plot No-273 , Road no 78, Film Nagar, Jubilee Hills, Hyderabad, Telangana 500096",075205 55666,,5.0,6,"CC93+8C Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Urban Life Spaces,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Urban+Life+Spaces&per_page=5,,,,,,,,,,,,
Aureal Consulting Hyderabad,Jubilee Hills,property consultants,https://www.google.com/maps/place/Aureal+Consulting+Hyderabad/data=!4m7!3m6!1s0x3bcb9115a7cbedb7:0x679a7832cc8baab5!8m2!3d17.4316804!4d78.402639!16s%2Fg%2F11jt64_pfc!19sChIJt-3LpxWRyzsRtaqLzDJ4mmc?authuser=0&hl=en&rclk=1,"Co operative Society, 839 C, Rd Number 44, CBI Colony, Jubilee Hills, Hyderabad, Telangana 500033",078990 51883,,5.0,2,"CCJ3+M3 Hyderabad, Telangana",· Opens 10:30 am; Wednesday 10:30 am–6:30 pm; Thursday 10:30 am–6:30 pm; Friday 10:30 am–6:30 pm; Saturday 10:30 am–6:30 pm; Sunday 10:30 am–6:30 pm; Monday 10:30 am–6:30 pm,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Aureal Consulting Hyderabad,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Aureal+Consulting+Hyderabad&per_page=5,,,,,,,,,,,,
Navayuga Real Ventures Pvt. Ltd,Jubilee Hills,real estate agencies,https://www.google.com/maps/place/Navayuga+Real+Ventures+Pvt.+Ltd/data=!4m7!3m6!1s0x3bcb913097e5b801:0x22ae0f48ddc36196!8m2!3d17.4344315!4d78.409597!16s%2Fg%2F11dxkw8m9w!19sChIJAbjllzCRyzsRlmHD3UgPriI?authuser=0&hl=en&rclk=1,"Plot No. 379, 5th Floor, Road No 10, Jubilee Hills, Hyderabad, Telangana 500033",,,3.5,8,"CCM5+QR Hyderabad, Telangana",· Opens 9:30 am; Wednesday 9:30 am–6 pm; Thursday 9:30 am–6 pm; Friday 9:30 am–6 pm; Saturday 9:30 am–6 pm; Sunday 9:30 am–6 pm; Monday 9:30 am–6 pm; Tuesday 9:30 am–6 pm,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Navayuga Real Ventures Pvt. Ltd,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Navayuga+Real+Ventures+Pvt.+Ltd&per_page=5,,,,,,,,,,,,
